https://github.com/AlDanial/cloc v 1.66  T=28.17 s (6.7 files/s, 733.9 lines/s)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                                                                                                                                  blank        comment           code
../metrics-dashboard-bash-scala/target/resolution-cache/default/metrics-dashboard-bash-scala_2.11/1.0/resolved.xml.xml                                                                                                                                                                                                    0              0             41
../metrics-dashboard-bash-scala/.idea/misc.xml                                                                                                                                                                                                                                                                            0              0             35
../metrics-dashboard-bash-scala/target/streams/$global/assemblyOption/$global/streams/assembly/91d16397a7d3bc4485bab7157dd658d083c2c335_435efa54afd2853995546802280e8cd2d2770d00_da39a3ee5e6b4b0d3255bfef95601890afd80709/META-INF/maven/com.fasterxml.jackson.core/jackson-annotations/pom.xml                           3              0             27
../metrics-dashboard-bash-scala/src/main/scala/common/KlocSysScala.scala                                                                                                                                                                                                                                                 13             11             27
../metrics-dashboard-bash-scala/.idea/sbt.xml                                                                                                                                                                                                                                                                             0              0             26
../metrics-dashboard-bash-scala/.idea/compiler.xml                                                                                                                                                                                                                                                                        0              0             22
../metrics-dashboard-bash-scala/src/main/scala/common/IO.scala                                                                                                                                                                                                                                                           13              8             19
../metrics-dashboard-bash-scala/target/resolution-cache/org.scala-sbt.temp/temp-module-750703454be73072ce64f1c215ff85550284ae5b/0.13.11/resolved.xml.xml                                                                                                                                                                  0              0             19
../metrics-dashboard-bash-scala/.idea/libraries/SBT__org_scala_lang_scala_library_2_11_7_jar.xml                                                                                                                                                                                                                          0              0             18
../metrics-dashboard-bash-scala/project/target/resolution-cache/reports/default-metrics-dashboard-bash-scala-build-pom.xml                                                                                                                                                                                                0              0             15
../metrics-dashboard-bash-scala/project/target/resolution-cache/reports/default-metrics-dashboard-bash-scala-build-optional.xml                                                                                                                                                                                           0              0             15
../metrics-dashboard-bash-scala/project/target/resolution-cache/reports/default-metrics-dashboard-bash-scala-build-sources.xml                                                                                                                                                                                            0              0             15
../metrics-dashboard-bash-scala/project/target/resolution-cache/reports/default-metrics-dashboard-bash-scala-build-plugin.xml                                                                                                                                                                                             0              0             15
../metrics-dashboard-bash-scala/project/target/resolution-cache/reports/default-metrics-dashboard-bash-scala-build-docs.xml                                                                                                                                                                                               0              0             15
../metrics-dashboard-bash-scala/target/resolution-cache/reports/default-metrics-dashboard-bash-scala$sources_2.11-sources.xml                                                                                                                                                                                             0              0             13
../metrics-dashboard-bash-scala/target/resolution-cache/reports/default-metrics-dashboard-bash-scala_2.11-pom.xml                                                                                                                                                                                                         0              0             13
../metrics-dashboard-bash-scala/target/resolution-cache/reports/default-metrics-dashboard-bash-scala_2.11-optional.xml                                                                                                                                                                                                    0              0             13
../metrics-dashboard-bash-scala/target/resolution-cache/reports/default-metrics-dashboard-bash-scala$sources_2.11-plugin.xml                                                                                                                                                                                              0              0             13
../metrics-dashboard-bash-scala/target/resolution-cache/reports/default-metrics-dashboard-bash-scala$sources_2.11-pom.xml                                                                                                                                                                                                 0              0             13
../metrics-dashboard-bash-scala/target/resolution-cache/reports/default-metrics-dashboard-bash-scala$sources_2.11-optional.xml                                                                                                                                                                                            0              0             13
../metrics-dashboard-bash-scala/target/resolution-cache/reports/default-metrics-dashboard-bash-scala_2.11-docs.xml                                                                                                                                                                                                        0              0             13
../metrics-dashboard-bash-scala/target/resolution-cache/reports/default-metrics-dashboard-bash-scala_2.11-plugin.xml                                                                                                                                                                                                      0              0             13
../metrics-dashboard-bash-scala/target/resolution-cache/reports/default-metrics-dashboard-bash-scala_2.11-sources.xml                                                                                                                                                                                                     0              0             13
../metrics-dashboard-bash-scala/target/resolution-cache/reports/default-metrics-dashboard-bash-scala$sources_2.11-docs.xml                                                                                                                                                                                                0              0             13
